Name,ProductCode,Family,MakeName,BusinessBrandId,IsActive
Kona Electrico Prestige 150 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D259 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
N400 CARGO 1.2L 4X2 T/M GAS,1HH26AC-B 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
N400 CARGO 1.2L 4X2 T/M GAS,1HH26AC-B 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAVERSE LT 2.5L 4X4 T/A GAS,1LB56-D 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAVERSE LT 2.5L 4X4 T/A GAS,1LB56-D 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
BLAZER LT 3.6L AWD T/A GAS,1NR26-D 2023,Autos,Chevrolet,1BUWK0000009EF64AM,true
BLAZER RS 3.6L AWD T/A GAS DUAL TONE,1NS26-G 2024,Autos,Chevrolet,1BUWK0000009EF64AM,true
CAPTIVA LT 1.5L 4X2 T/A TURBO GAS,1SD26-B 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
CAPTIVA LT 1.5L 4X2 T/A TURBO GAS,1SD26-B 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
CAPTIVA PREMIER 1.5L 4X2 T/A TURBO GAS,1SE26-C 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAX LT 1.2T 4X2 T/A GAS,1TU58-B 2024,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAX LT 1.2T 4X2 T/A GAS,1TU58-B 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAX RS 1.2T 4X2 T/A GAS,1TU58-C 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAX RS 1.2T 4X2 T/A GAS,1TU58-C 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
GROOVE LT 1.5L T/M GAS TURBO,1VC26-A 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
GROOVE LT 1.5L T/A GAS TURBO,1VC26-B 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
GROOVE RS 1.5L T/A GAS TURBO,1VD26-C 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
AVEO LT 1.5L T/A GAS HB,1VD48-C 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
GROOVE LT 1.5L T/A GAS,1XE26-E 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
GROOVE PREMIER 1.5L T/A GAS,1XT26-F 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
