Name,ProductId,ModelCode,EngineCubicCapacity
Kona Electrico TEDR 150 KW EV T/A SBW 2WD 2024,01tWK00000G1Ii3YAF,1FW5ZHZ7Z D D106,150 KW
Kona Electrico Prestige 150 KW EV T/A SBW 2WD 2025,01tWK00000G1Ii4YAF,1FW5ZHZ7Z D D123,150 KW
Kona Electrico Elegant 99 KW EV T/A SBW 2WD 2025,01tWK00000G1Ii5YAF,1FW5ZHZ7Z D D137,99 KW
Kona Electrico Prestige 150 KW EV T/A SBW 2WD 2025,01tWK00000G1Ii6YAF,1FW5ZHZ7Z D D202,150 KW
Kona Electrico Elegant 99 KW EV T/A SBW 2WD 2025,01tWK00000G1Ii7YAF,1FW5ZHZ7Z D D232,99 KW
Kona Electrico Prestige 150 KW EV T/A SBW 2WD 2025,01tWK00000G1Ii8YAF,1FW5ZHZ7Z D D259,150 KW
Kona Electrico Prestige 150 KW EV T/A SBW 2WD 2026,01tWK00000G1Ii9YAF,1FW5ZHZ7Z D D259,150 KW
N400 CARGO 1.2L 4X2 T/M GAS 2025,01tWK00000G1IiAYAV,1HH26AC-B,1.2L
N400 CARGO 1.2L 4X2 T/M GAS 2026,01tWK00000G1IiBYAV,1HH26AC-B,1.2L
TRAVERSE LT 2.5L 4X4 T/A GAS 2025,01tWK00000G1IiCYAV,1LB56-D,2.5L
TRAVERSE LT 2.5L 4X4 T/A GAS 2026,01tWK00000G1IiDYAV,1LB56-D,2.5L
BLAZER LT 3.6L AWD T/A GAS 2023,01tWK00000G1IiEYAV,1NR26-D,3.6L
BLAZER RS 3.6L AWD T/A GAS DUAL TONE 2024,01tWK00000G1IiFYAV,1NS26-G,3.6L
CAPTIVA LT 1.5L 4X2 T/A TURBO GAS 2025,01tWK00000G1IiGYAV,1SD26-B,1.5L
CAPTIVA LT 1.5L 4X2 T/A TURBO GAS 2026,01tWK00000G1IiHYAV,1SD26-B,1.5L
CAPTIVA PREMIER 1.5L 4X2 T/A TURBO GAS 2025,01tWK00000G1IiIYAV,1SE26-C,1.5L
TRAX LT 1.2T 4X2 T/A GAS 2024,01tWK00000G1IiJYAV,1TU58-B,
TRAX LT 1.2T 4X2 T/A GAS 2025,01tWK00000G1IiKYAV,1TU58-B,
TRAX RS 1.2T 4X2 T/A GAS 2025,01tWK00000G1IiLYAV,1TU58-C,
TRAX RS 1.2T 4X2 T/A GAS 2026,01tWK00000G1IiMYAV,1TU58-C,
GROOVE LT 1.5L T/M GAS TURBO 2026,01tWK00000G1IiNYAV,1VC26-A,1.5L
GROOVE LT 1.5L T/A GAS TURBO 2026,01tWK00000G1IiOYAV,1VC26-B,1.5L
GROOVE RS 1.5L T/A GAS TURBO 2026,01tWK00000G1IiPYAV,1VD26-C,1.5L
AVEO LT 1.5L T/A GAS HB 2026,01tWK00000G1IiQYAV,1VD48-C,1.5L
GROOVE LT 1.5L T/A GAS 2025,01tWK00000G1IiRYAV,1XE26-E,1.5L
GROOVE PREMIER 1.5L T/A GAS 2025,01tWK00000G1IiSYAV,1XT26-F,1.5L
CORVETTE 6.2L Z51 AT 2026,01tWK00000G1IiTYAV,1YC07-A,6.2L
CORVETTE Z51 6.2L T/A GAS (Convertible) 2026,01tWK00000G1IiUYAV,1YC67-B,6.2L
Santa Fe Limited 2.500 cc Gas T/A SBW 4WD 2026,01tWK00000G1IiVYAV,6HW7L9A1K D D211,2.500 cc
Santa Fe Sport 2.500 cc Gas T/A SBW 4WD 2026,01tWK00000G1IiWYAV,6HW7L9A1K D D217,2.500 cc
ESCALADE SUV PREMIUM 6.2L 4X4 T/A GAS 2026,01tWK00000G1IiXYAV,6K10706-A,6.2L
ESCALADE SUV PREMIUM 6.2L 4X4 T/A GAS 2024,01tWK00000G1IiYYAV,6K10706-B,6.2L
